participant,session,typing_speed,pause_ratio,backspace_ratio,mean_dwell,timing_variance,label
p001,1,3.003799551934667,0.060063643595863164,0.02426412092283214,0.10239220365950676,0.24418838194881598,interested
p001,2,3.340141830236875,0.04664723032069971,0.04008746355685131,0.11028862973760933,0.10706039510896617,interested
p002,1,5.582863778572167,0.005921539600296077,0.053293856402664694,0.08792598075499629,0.02333851549087739,confident
p002,2,5.702259014831426,0.003552397868561279,0.047602131438721135,0.0871246891651865,0.017864181654662338,confident
p003,1,2.824818747705645,0.011183956806787505,0.030466640956421133,0.2918573081372927,9.58325126788657,interested
p003,2,7.065612958652352,0.0014716703458425313,0.026857983811626195,0.08217623252391464,1.6419796552464312,confident
p004,1,1.6195453620460767,0.05276595744680851,0.4368085106382979,0.5284112765957446,15.949008228916536,hesitant
p004,2,0.7810733431774611,0.02631578947368421,0.8421052631578947,11.673105263157893,816.167789220847,hesitant
p005,1,3.0566802717471484,0.016686893203883495,0.12226941747572816,0.10626312594840667,0.25708324971279,neutral
p005,2,3.1708718659317507,0.015835777126099706,0.1252199413489736,0.10420557184750734,0.6678428593390805,neutral
p006,1,3.4504246489315613,0.004705030763662686,0.062251176257690916,0.08036120159247195,33.72856365265964,interested
p006,2,2.5989045066331107,0.017355085039916694,0.0614370010413051,0.3059489760499826,6.54811902059649,interested
p007,1,3.8589649791646505,0.01364522417153996,0.026900584795321637,0.09258323586744638,0.05399820726512605,interested
p007,2,4.124881734531873,0.012110091743119266,0.027889908256880733,0.09390899082568807,0.03207778025103878,interested
p008,1,4.1100373556377825,0.004042037186742118,0.021422797089733225,0.14027930476960387,5.649741455898689,interested
p008,2,4.53616329440727,0.00980392156862745,0.04139433551198257,0.1676318082788671,0.6844752304651979,interested
p009,1,2.8149752093463234,0.030180345969819652,0.05079131394920869,0.09812403386087597,2.173949427245777,interested
p009,2,3.3717628736087994,0.023330940416367553,0.039124192390524046,0.09138011486001435,0.21046312698348305,interested
p010,1,2.3220473828639148,0.04288659793814433,0.006597938144329897,0.0878581443298969,0.883581022896281,interested
p010,2,2.093199266609344,0.04568527918781726,0.005076142131979695,0.08638266302225692,13.0862656385311,interested
p011,1,3.8455295995236547,0.025527569775357386,0.0762423417290674,0.10642682096664398,0.05620080901572595,interested
p011,2,3.409594209116197,0.02857142857142857,0.0691029900332226,0.11014717607973422,0.7909687138016226,interested
p012,1,5.0569757784950315,0.006864274570982839,0.12043681747269891,0.12066302652106085,0.05340071682645098,confident
p012,2,4.778560796304426,0.005408653846153846,0.109375,0.11510757211538462,0.27369860470103696,neutral
p013,1,5.216503311066723,0.009187279151943463,0.07137809187279152,0.10243286219081271,0.029072338581400865,confident
p013,2,4.293637062154997,0.008130081300813009,0.06571815718157181,0.10389972899728997,0.043611114541703425,interested
p014,1,2.502104240932211,0.08975265017667844,0.07561837455830389,0.08136254416961129,0.2894638450121804,interested
